"id","state","process","createdAt","lastTransition","lastTransitionedAt","lineItems","payIns","payOuts","protectedData","booking_id","customer_id","listing_id","provider_id","transitions"
"002e4b8e-358a-4e3f-bc57-225579b299a8","enquiry","mygoldencloset/beta","2021-09-05 19:02:11.207283+00","transition/enquire","2021-09-05 19:02:11.207408+00","{}","{}","{}","{}",NULL,"c237dd64-d0a7-4acb-b290-f702c6f46e8e","5db71b5d-8b18-4e63-bed1-e474903918ff","5db71b10-2a18-4e52-97bd-01eb177b745a","[{""~:by"": ""~:customer"", ""~:createdAt"": ""~t2021-09-05T19:02:11.207+00:00"", ""~:transition"": ""transition/enquire""}]"
"00ac298c-e024-4c28-b8ef-f4790d4e6c13","enquiry","mygoldencloset/beta","2021-08-22 13:30:37.201457+00","transition/enquire","2021-08-22 13:30:37.201625+00","{}","{}","{}","{}",NULL,"9b21e003-8497-45b4-a0e6-7dc3b68776e7","5cd001d8-d3b0-40c9-9aed-1f4ad7e4a216","5ccfed77-dc59-441b-b332-0db921b85c9a","[{""~:by"": ""~:customer"", ""~:createdAt"": ""~t2021-08-22T13:30:37.201+00:00"", ""~:transition"": ""transition/enquire""}]"
"00b9d798-a178-45cf-ab31-23fb612d2122","enquiry","mygoldencloset/beta","2021-08-21 17:25:15.250119+00","transition/enquire","2021-08-21 17:25:15.250284+00","{}","{}","{}","{}",NULL,"9b21e003-8497-45b4-a0e6-7dc3b68776e7","5f1f23b6-08f9-4cf9-806e-e7575a89c914","5e6b85f7-89b3-47e0-a959-fec8b7f3723d","[{""~:by"": ""~:customer"", ""~:createdAt"": ""~t2021-08-21T17:25:15.250+00:00"", ""~:transition"": ""transition/enquire""}]"
"0127377a-355b-4f82-9d64-8d4361b8080e","delivered","mygoldencloset/beta","2021-10-07 18:27:09.050819+00","transition/complete","2021-10-07 22:00:05.615969+00","[{""code"": ""line-item/units"", ""seats"": null, ""units"": null, ""quantity"": 1, ""reversal"": false, ""lineTotal"": {""amount"": 25.0, ""currency"": ""EUR""}, ""unitPrice"": {""amount"": 25.0, ""currency"": ""EUR""}, ""includeFor"": [""customer"", ""provider""], ""percentage"": null, ""sortPosition"": 1}, {""code"": ""line-item/customer-commission"", ""seats"": null, ""units"": null, ""quantity"": null, ""reversal"": false, ""lineTotal"": {""amount"": 1.88, ""currency"": ""EUR""}, ""unitPrice"": {""amount"": 25.0, ""currency"": ""EUR""}, ""includeFor"": [""customer""], ""percentage"": 7.5, ""sortPosition"": 1}, {""code"": ""line-item/provider-commission"", ""seats"": null, ""units"": null, ""quantity"": null, ""reversal"": false, ""lineTotal"": {""amount"": -1.88, ""currency"": ""EUR""}, ""unitPrice"": {""amount"": 25.0, ""currency"": ""EUR""}, ""includeFor"": [""provider""], ""percentage"": -7.5, ""sortPosition"": 1}]","[{""id"": ""be9d0d34-a3a0-4b40-a184-f49b17c430be"", ""type"": ""payment.type/in"", ""state"": ""payment.in/paid"", ""amount"": {""amount"": 26.88, ""currency"": ""EUR""}, ""stripeChargeId"": ""ch_3Ji1JBDbOMDj88Wu2clY4Sqe"", ""stripePayoutId"": null, ""convertedAmount"": null, ""stripeTransferId"": null, ""stripeBalanceTxId"": null, ""stripePaymentIntentId"": ""pi_3Ji1JBDbOMDj88Wu2pmE02g9""}]","[{""id"": ""76a37d8d-267c-441b-8e86-3647360bf3d8"", ""type"": ""payment.type/out"", ""state"": ""payment.out/success"", ""amount"": {""amount"": 23.12, ""currency"": ""EUR""}, ""stripeChargeId"": null, ""stripePayoutId"": null, ""convertedAmount"": {""amount"": 23.12, ""currency"": ""EUR""}, ""stripeTransferId"": ""tr_3Ji1JBDbOMDj88Wu2fPxrO8D"", ""stripeBalanceTxId"": ""txn_3Ji1JBDbOMDj88Wu23pOiaJT"", ""stripePaymentIntentId"": ""pi_3Ji1JBDbOMDj88Wu2pmE02g9""}]","{""~:stripePaymentIntents"": {""~:default"": {""~:stripePaymentIntentId"": ""pi_3Ji1JBDbOMDj88Wu2pmE02g9"", ""~:stripePaymentIntentClientSecret"": ""pi_3Ji1JBDbOMDj88Wu2pmE02g9_secret_CH3zV9No1wES1cDv1BEljES8Z""}}}","f3f89ef3-9034-4c98-ac6d-520a1d4fffd9","5f1aa52b-7908-4355-b0d0-52eb6cc2409d","5f29125b-556a-4d96-ad30-9be3211246b9","5cbed799-eb5a-48f9-ae51-87ffdc068e93","[{""~:by"": ""~:customer"", ""~:createdAt"": ""~t2021-10-07T18:27:09.436+00:00"", ""~:transition"": ""transition/request-payment""}, {""~:by"": ""~:system"", ""~:createdAt"": ""~t2021-10-07T18:27:12.877+00:00"", ""~:transition"": ""transition/confirm-payment""}, {""~:by"": ""~:provider"", ""~:createdAt"": ""~t2021-10-07T18:39:20.614+00:00"", ""~:transition"": ""transition/accept""}, {""~:by"": ""~:system"", ""~:createdAt"": ""~t2021-10-07T22:00:05.615+00:00"", ""~:transition"": ""transition/complete""}]"
"013066d4-0018-4277-8976-9bcb0dbdcf35","delivered","mygoldencloset/beta","2021-10-04 13:52:02.575079+00","transition/complete","2021-10-05 14:00:09.332769+00","[{""code"": ""line-item/units"", ""seats"": null, ""units"": null, ""quantity"": 1, ""reversal"": false, ""lineTotal"": {""amount"": 25.0, ""currency"": ""EUR""}, ""unitPrice"": {""amount"": 25.0, ""currency"": ""EUR""}, ""includeFor"": [""customer"", ""provider""], ""percentage"": null, ""sortPosition"": 1}, {""code"": ""line-item/customer-commission"", ""seats"": null, ""units"": null, ""quantity"": null, ""reversal"": false, ""lineTotal"": {""amount"": 1.88, ""currency"": ""EUR""}, ""unitPrice"": {""amount"": 25.0, ""currency"": ""EUR""}, ""includeFor"": [""customer""], ""percentage"": 7.5, ""sortPosition"": 1}, {""code"": ""line-item/provider-commission"", ""seats"": null, ""units"": null, ""quantity"": null, ""reversal"": false, ""lineTotal"": {""amount"": -1.88, ""currency"": ""EUR""}, ""unitPrice"": {""amount"": 25.0, ""currency"": ""EUR""}, ""includeFor"": [""provider""], ""percentage"": -7.5, ""sortPosition"": 1}]","[{""id"": ""6fa7070e-f203-4781-b79c-ca2403abd0ff"", ""type"": ""payment.type/in"", ""state"": ""payment.in/paid"", ""amount"": {""amount"": 26.88, ""currency"": ""EUR""}, ""stripeChargeId"": ""ch_3JgraIDbOMDj88Wu36En6OZu"", ""stripePayoutId"": null, ""convertedAmount"": null, ""stripeTransferId"": null, ""stripeBalanceTxId"": null, ""stripePaymentIntentId"": ""pi_3JgraIDbOMDj88Wu3qsMw2tj""}]","[{""id"": ""ce1ca264-eb4c-4b3b-8952-2ae07c141cd3"", ""type"": ""payment.type/out"", ""state"": ""payment.out/success"", ""amount"": {""amount"": 23.12, ""currency"": ""EUR""}, ""stripeChargeId"": null, ""stripePayoutId"": null, ""convertedAmount"": {""amount"": 23.12, ""currency"": ""EUR""}, ""stripeTransferId"": ""tr_3JgraIDbOMDj88Wu3oiwT6uJ"", ""stripeBalanceTxId"": ""txn_3JgraIDbOMDj88Wu3bfNsq79"", ""stripePaymentIntentId"": ""pi_3JgraIDbOMDj88Wu3qsMw2tj""}]","{""~:stripePaymentIntents"": {""~:default"": {""~:stripePaymentIntentId"": ""pi_3JgraIDbOMDj88Wu3qsMw2tj"", ""~:stripePaymentIntentClientSecret"": ""pi_3JgraIDbOMDj88Wu3qsMw2tj_secret_7RXHFaMYYog2u78pgX8Fgujpp""}}}","b9790f0f-d90f-4852-b0cd-ba7ae1a2802a","6799781e-bde6-43d6-a87e-916e93a623e7","5f78b423-399e-493b-8000-208a0f3ecce6","5d5d4642-fef5-4a1b-92de-f6a140aa53fc","[{""~:by"": ""~:customer"", ""~:createdAt"": ""~t2021-10-04T13:52:02.965+00:00"", ""~:transition"": ""transition/request-payment""}, {""~:by"": ""~:system"", ""~:createdAt"": ""~t2021-10-04T13:52:36.348+00:00"", ""~:transition"": ""transition/confirm-payment""}, {""~:by"": ""~:provider"", ""~:createdAt"": ""~t2021-10-05T10:03:54.450+00:00"", ""~:transition"": ""transition/accept""}, {""~:by"": ""~:system"", ""~:createdAt"": ""~t2021-10-05T14:00:09.332+00:00"", ""~:transition"": ""transition/complete""}]"
"0192cc7f-10d6-4050-af87-effe0410406f","enquiry","mygoldencloset/beta","2021-08-02 15:56:22.004274+00","transition/enquire","2021-08-02 15:56:22.004399+00","{}","{}","{}","{}",NULL,"5d074b54-a759-4229-b8c5-ca3c467f114b","5d5d44d6-abc8-4beb-8f29-f5e2a80e72c3","5cab0a5b-ec8f-4c44-8001-ddaa1a2046e6","[{""~:by"": ""~:customer"", ""~:createdAt"": ""~t2021-08-02T15:56:22.004+00:00"", ""~:transition"": ""transition/enquire""}]"
"019391bb-5261-4da2-9e1f-5bcc15144021","canceled","mygoldencloset/beta","2021-08-07 09:05:08+00","transition/cancel","2021-08-09 10:59:20+00","[{""code"": ""line-item/units"", ""seats"": null, ""units"": null, ""quantity"": 1, ""reversal"": false, ""lineTotal"": {""amount"": 8.0, ""currency"": ""EUR""}, ""unitPrice"": {""amount"": 8.0, ""currency"": ""EUR""}, ""includeFor"": [""customer"", ""provider""], ""percentage"": null, ""sortPosition"": 1}, {""code"": ""line-item/customer-commission"", ""seats"": null, ""units"": null, ""quantity"": null, ""reversal"": false, ""lineTotal"": {""amount"": 0.6, ""currency"": ""EUR""}, ""unitPrice"": {""amount"": 8.0, ""currency"": ""EUR""}, ""includeFor"": [""customer""], ""percentage"": 7.5, ""sortPosition"": 1}, {""code"": ""line-item/provider-commission"", ""seats"": null, ""units"": null, ""quantity"": null, ""reversal"": false, ""lineTotal"": {""amount"": -0.6, ""currency"": ""EUR""}, ""unitPrice"": {""amount"": 8.0, ""currency"": ""EUR""}, ""includeFor"": [""provider""], ""percentage"": -7.5, ""sortPosition"": 1}]","[{""id"": ""2cb2eeb8-c0c5-44ed-8a0e-ed15d23ff40b"", ""type"": ""payment.type/in"", ""state"": ""payment.in/refunded"", ""amount"": {""amount"": 8.6, ""currency"": ""EUR""}, ""stripeChargeId"": ""ch_3JLlSqDbOMDj88Wu2K4kbJO2"", ""stripePayoutId"": null, ""convertedAmount"": null, ""stripeTransferId"": null, ""stripeBalanceTxId"": null, ""stripePaymentIntentId"": ""pi_3JLlSqDbOMDj88Wu2VrwX6Qq""}]","{}","{""~:stripePaymentIntents"": {""~:default"": {""~:stripePaymentIntentId"": ""pi_3JLlSqDbOMDj88Wu2VrwX6Qq"", ""~:stripePaymentIntentClientSecret"": ""pi_3JLlSqDbOMDj88Wu2VrwX6Qq_secret_0twcBCYLxu8DizNv4qUnHBeGV""}}}","dbd4595a-18b3-48aa-b813-7b37a5d9462a","0aaa4ede-70f3-4158-b7a1-7cf65d30ea5a","264c3bcc-5275-45a1-869d-506a12611e12","5cbed5c7-3abe-425d-b527-6e8a96bafffb","[{""~:by"": ""~:customer"", ""~:createdAt"": ""~t2021-08-07T09:05:08.711+00:00"", ""~:transition"": ""transition/request-payment""}, {""~:by"": ""~:system"", ""~:createdAt"": ""~t2021-08-07T09:05:13.485+00:00"", ""~:transition"": ""transition/confirm-payment""}, {""~:by"": ""~:provider"", ""~:createdAt"": ""~t2021-08-09T10:59:20.097+00:00"", ""~:transition"": ""transition/accept""}]"
"01990235-321c-44f8-ac3c-e42bc89a8687","pending-payment","mygoldencloset/beta","2021-05-22 07:55:45.093328+00","transition/request-payment-after-enquiry","2021-05-31 07:45:12.499927+00","[{""code"": ""line-item/units"", ""seats"": null, ""units"": null, ""quantity"": 1, ""reversal"": false, ""lineTotal"": {""amount"": 25.0, ""currency"": ""EUR""}, ""unitPrice"": {""amount"": 25.0, ""currency"": ""EUR""}, ""includeFor"": [""customer"", ""provider""], ""percentage"": null, ""sortPosition"": 1}, {""code"": ""line-item/customer-commission"", ""seats"": null, ""units"": null, ""quantity"": null, ""reversal"": false, ""lineTotal"": {""amount"": 1.88, ""currency"": ""EUR""}, ""unitPrice"": {""amount"": 25.0, ""currency"": ""EUR""}, ""includeFor"": [""customer""], ""percentage"": 7.5, ""sortPosition"": 1}, {""code"": ""line-item/provider-commission"", ""seats"": null, ""units"": null, ""quantity"": null, ""reversal"": false, ""lineTotal"": {""amount"": -1.88, ""currency"": ""EUR""}, ""unitPrice"": {""amount"": 25.0, ""currency"": ""EUR""}, ""includeFor"": [""provider""], ""percentage"": -7.5, ""sortPosition"": 1}]","[{""id"": ""ef4018b9-3b17-49e9-a276-d9075436edc0"", ""type"": ""payment.type/in"", ""state"": ""payment.in/paid"", ""amount"": {""amount"": 26.88, ""currency"": ""EUR""}, ""stripeChargeId"": ""ch_1Ix5ojDbOMDj88WuJwK8j0FI"", ""stripePayoutId"": null, ""convertedAmount"": null, ""stripeTransferId"": null, ""stripeBalanceTxId"": null, ""stripePaymentIntentId"": ""pi_1Ix5oCDbOMDj88WucT3YG4z2""}]","{}","{""~:stripePaymentIntents"": {""~:default"": {""~:stripePaymentIntentId"": ""pi_1Ix5oCDbOMDj88WucT3YG4z2"", ""~:stripePaymentIntentClientSecret"": ""pi_1Ix5oCDbOMDj88WucT3YG4z2_secret_GqbaDFAxncls4PK7K67jMZmGY""}}}","278dcdbd-df81-410f-9072-cc73b181ba8e","7f8e0433-9459-468e-993d-b5a6a2842a55","5fd266d8-5ce8-4809-9c97-5aa14cc5cdd9","5d2348c2-3f6f-4096-8bd7-00ca6ce7677b","[{""~:by"": ""~:customer"", ""~:createdAt"": ""~t2021-05-22T07:55:45.093+00:00"", ""~:transition"": ""transition/enquire""}, {""~:by"": ""~:customer"", ""~:createdAt"": ""~t2021-05-31T07:45:12.499+00:00"", ""~:transition"": ""transition/request-payment-after-enquiry""}]"
"01ae5486-fdde-456c-8dda-b0e10cd43375","enquiry","mygoldencloset/beta","2021-06-04 08:11:17.512217+00","transition/enquire","2021-06-04 08:11:17.512358+00","{}","{}","{}","{}",NULL,"5f553160-79d1-4e18-bcb2-5494085f3e51","5f428a07-d54c-472d-ac05-2b28df13dcf7","5cbed5c7-3abe-425d-b527-6e8a96bafffb","[{""~:by"": ""~:customer"", ""~:createdAt"": ""~t2021-06-04T08:11:17.512+00:00"", ""~:transition"": ""transition/enquire""}]"
"01fef9fd-65c9-4b94-8100-d79068177a06","delivered","mygoldencloset/beta","2021-06-09 09:08:22.204028+00","transition/complete","2021-06-17 14:35:14.991245+00","[{""code"": ""line-item/units"", ""seats"": null, ""units"": null, ""quantity"": 1, ""reversal"": false, ""lineTotal"": {""amount"": 20.0, ""currency"": ""EUR""}, ""unitPrice"": {""amount"": 20.0, ""currency"": ""EUR""}, ""includeFor"": [""customer"", ""provider""], ""percentage"": null, ""sortPosition"": 1}, {""code"": ""line-item/customer-commission"", ""seats"": null, ""units"": null, ""quantity"": null, ""reversal"": false, ""lineTotal"": {""amount"": 1.5, ""currency"": ""EUR""}, ""unitPrice"": {""amount"": 20.0, ""currency"": ""EUR""}, ""includeFor"": [""customer""], ""percentage"": 7.5, ""sortPosition"": 1}, {""code"": ""line-item/provider-commission"", ""seats"": null, ""units"": null, ""quantity"": null, ""reversal"": false, ""lineTotal"": {""amount"": -1.5, ""currency"": ""EUR""}, ""unitPrice"": {""amount"": 20.0, ""currency"": ""EUR""}, ""includeFor"": [""provider""], ""percentage"": -7.5, ""sortPosition"": 1}, {""code"": ""line-item/frais-de-port"", ""seats"": null, ""units"": null, ""quantity"": 1, ""reversal"": false, ""lineTotal"": {""amount"": 5.0, ""currency"": ""EUR""}, ""unitPrice"": {""amount"": 5.0, ""currency"": ""EUR""}, ""includeFor"": [""customer"", ""provider""], ""percentage"": null, ""sortPosition"": 1}]","[{""id"": ""c45e192a-666d-4bb6-8b6e-f41d5200542f"", ""type"": ""payment.type/in"", ""state"": ""payment.in/paid"", ""amount"": {""amount"": 26.5, ""currency"": ""EUR""}, ""stripeChargeId"": ""ch_1J0NOfDbOMDj88WuVgLGSNQh"", ""stripePayoutId"": null, ""convertedAmount"": null, ""stripeTransferId"": null, ""stripeBalanceTxId"": null, ""stripePaymentIntentId"": ""pi_1J0NOcDbOMDj88WukWLdsetr""}]","[{""id"": ""2240cedf-5ac1-4d41-9eb3-a46e4496d90a"", ""type"": ""payment.type/out"", ""state"": ""payment.out/success"", ""amount"": {""amount"": 23.5, ""currency"": ""EUR""}, ""stripeChargeId"": null, ""stripePayoutId"": null, ""convertedAmount"": {""amount"": 23.5, ""currency"": ""EUR""}, ""stripeTransferId"": ""tr_1J3MJKDbOMDj88WuVp0bT1oO"", ""stripeBalanceTxId"": ""txn_1J3MJKDbOMDj88Wu2Z1hVQhn"", ""stripePaymentIntentId"": ""pi_1J0NOcDbOMDj88WukWLdsetr""}]","{""~:stripePaymentIntents"": {""~:default"": {""~:stripePaymentIntentId"": ""pi_1J0NOcDbOMDj88WukWLdsetr"", ""~:stripePaymentIntentClientSecret"": ""pi_1J0NOcDbOMDj88WukWLdsetr_secret_ACnTg8oOMFPhqYEkXoaTjJBUV""}}}","cd57806a-e78d-4229-9863-713e521ee010","5d82492f-7c64-4fd4-ae0d-91ae6a78f812","a2c150d7-a89d-47e2-aa90-694ba64bb779","5f68bda1-ef99-4bb0-be01-aad57149bffa","[{""~:by"": ""~:customer"", ""~:createdAt"": ""~t2021-06-09T09:08:22.603+00:00"", ""~:transition"": ""transition/request-payment""}, {""~:by"": ""~:system"", ""~:createdAt"": ""~t2021-06-09T09:08:27.791+00:00"", ""~:transition"": ""transition/confirm-payment""}, {""~:by"": ""~:provider"", ""~:createdAt"": ""~t2021-06-14T09:17:08.492+00:00"", ""~:transition"": ""transition/accept""}, {""~:by"": ""~:system"", ""~:createdAt"": ""~t2021-06-17T14:35:14.991+00:00"", ""~:transition"": ""transition/complete""}]"
